,artist,track,acousticness,energy,popularity,favorite,prediction
120810,SOB X RBE,Paramedic!,0.177,0.652,73,0,1
120815,Twenty One Pilots,Morph,0.0747,0.607,76,0,1
120817,Lil Peep,Runaway,0.44,0.591,74,0,1
120818,Maroon 5,Wait,0.0959,0.603,71,0,1
120821,Post Malone,Sugar Wraith,0.26,0.767,76,0,1
120824,The Weeknd,Wasted Times,0.622,0.674,75,0,1
120868,Charlie Puth,Done For Me (feat. Kehlani),0.193,0.632,76,0,1
120870,J. Cole,Photograph,0.0299,0.487,72,0,1
120881,Lauv,I Like Me Better,0.535,0.505,76,0,1
120883,Twenty One Pilots,Cut My Lip,0.12,0.561,73,0,1
120887,Loud Luxury,Love No More,0.0217,0.674,74,0,1
120897,Kelsea Ballerini,Miss Me More,0.0139999999999999,0.72,75,0,1
120900,Jeremy Zucker,better off,0.747,0.322,74,0,1
120918,Tory Lanez,Pa Mi (with Ozuna),0.0983,0.557,71,0,1
120925,David Guetta,Like I Do,0.00664,0.9,80,0,1
120931,Playboi Carti,FlatBed Freestyle,0.0967,0.552,72,0,1
120934,Arcangel,Original,0.0682,0.487,71,0,1
120962,IU,BBIBBI,0.241,0.617,73,0,1
121001,C. Tangana,Booty,0.0167,0.7709999999999999,82,0,1
121004,Alan Walker,Lost Control,0.0345,0.555,79,0,1
121032,Manuel Turizo,Sola,0.483,0.706,82,0,1
121052,Tyla Yaweh,She Bad,0.1969999999999999,0.526,71,0,1
121078,Bryant Myers,Tanta Falta,0.135,0.728,77,0,1
121088,MOMOLAND,BBoom BBoom,0.0149,0.7440000000000001,74,0,1
121090,Vance Joy,Like Gold,0.2239999999999999,0.7120000000000001,68,0,1
121163,DJ Khalil,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",0.159,0.933,73,0,1
121215,Alan Walker,Alone,0.2289999999999999,0.914,75,0,1
121225,Still Woozy,Habit,0.27,0.402,72,0,1
121233,Jorja Smith,Blue Lights,0.6659999999999999,0.57,73,0,1
121235,Gregory Alan Isakov,San Luis,0.86,0.434,69,0,1
121239,Blanco White,Olalla,0.662,0.409,74,0,1
121373,J Balvin,Peligrosa,0.0545,0.759,73,0,1
121375,Noah Kahan,Hurt Somebody (With Julia Michaels),0.3379999999999999,0.5589999999999999,77,0,1
121405,Nightcall,Let You Go,0.163,0.769,77,0,1
121406,Maikel Delacalle,Replay,0.203,0.8,75,0,1
121407,Kenny Man,Ni Gucci Ni Prada,0.41,0.6759999999999999,85,0,1
121462,Nao,If You Ever (feat. 6LACK),0.0895,0.62,66,0,1
121472,Jeremih,Surrounded (feat. Chris Brown & Wiz Khalifa),0.0392,0.45,66,0,1
121491,SHAUN,Way Back Home,0.405,0.7390000000000001,71,0,1
121671,ROSALÍA,DI MI NOMBRE - Cap.8: Éxtasis,0.885,0.534,73,0,1
121703,Jax Jones,Ring Ring (feat. Mabel & Rich The Kid),0.172,0.6409999999999999,76,0,1
121709,Des Rocs,Let Me Live / Let Me Die,0.034,0.759,71,0,1
121732,Kacey Musgraves,Love Is A Wild Thing,0.266,0.631,67,0,1
121740,Vic Mensa,Deserve It (feat. Mr Hudson),0.684,0.5660000000000001,44,0,1
121808,Two Feet,I Feel Like I'm Drowning,0.708,0.5770000000000001,75,0,1
121861,Justine Skye,Goodlove,0.0894,0.5770000000000001,57,0,1
121944,Sia,Helium (Sia vs. David Guetta & Afrojack),0.0977,0.5870000000000001,68,0,1
121967,Alvaro Soler,La Cintura,0.0201,0.845,77,0,1
122074,Miky Woodz,Na' Personal,0.0599,0.618,76,0,1
122382,Jonas Blue,Fast Car,0.469,0.578,76,0,1
